"Reference","Value","Footprint","数量"
"C1, C2","1u","$74th:Capacitor_0805_2012","2"
"CH1","Terminal","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1"
"CH2, CH3","PinHeader-2","$74th:2Pin","2"
"CH4","Barrel_Jack_Switch","$74th:DCJack-BarrelJack","1"
"J1","USB-C 2.0 Female","$74th:USB-C-12-Pin-MidMount-ali-v5","1"
"JP1","CFG1","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","1"
"JP2","CFG3","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","1"
"JP3","CFG2","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","1"
"Q1","FDS4935A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
"R1, R4","1k","$74th:Register_0805_2012","2"
"R2, R5","10k","$74th:Register_0805_2012","2"
"R3","100k","$74th:Register_0805_2012","1"
"SW1","Locking_Switch","$74th:Locking_Button_8x8mm","1"
"U1","CH224K","$74th:ESSOP-10_3.9x5.0mm_P1.0","1"
